text,score
"@NukeSpoon precisely.  The more followers you have, the more important you feel  http://twitter.pbworks.com/Hashtags explains a bit more.",empty
at homee. bored plzz! someone txt me about doing something this weekend.,empty
@niza_kritt GPS location: http://bit.ly/SPW5s here I am,empty
@XJakeXChaosX bored,empty
awwww look at this motherfucking POTUS  #nerdprom,empty
"just signed up..so, hello twitter world, here I am",empty
@julcal,empty
@djmicdamn hey yu lil fucker i textd yu,empty
"Here we go again, back to work. Happy Mothers Day to all  Peace",empty
I want it BACK NOW!: http://bit.ly/PP1WZ,empty
"@FairyChica78 Aw, that stinks, I'm sorry.",empty
Is it the weekend yet...?,empty
"@greyeyesgabriel You are clearly very busy  Take care of yourself, and I am sure you will be fine; takes one to know one ;)",empty
Going to Al Ain.  Need to check out one store. Hope i find things that I'm looking for.,empty
@rickyboylamb LoL!!  I still would have got a look at his face just in case!!,empty
@petrilude &quot;Shaking My Fucking Head&quot; or &quot;So Much Fucking Homework&quot; according to Urban dictionary,empty
"Change of plans, working inside bar tonight",empty
someone save me from boredom.,empty
@gk2007: bibi em  Th? lï¿½ 1 chï¿½m dï¿½u ?ï¿½ ra ?i...,empty
wants to increased my karma ~  http://plurk.com/p/suiva,empty
"@trishaelyca  not really, all in all, if im not mistaken, mga less than 1k each lng ang gastos namen...",empty
@DR_ILL I &lt;3 my blackberry,empty
my sunburn is starting to peel,empty
Ugh 2 days whatever to somewhere,empty
"Just watched Mall Cop. Wasn't that funny, but wasn't too bad. I guess. I kinda wish I still worked at a movie theater....",empty
Maybe going apartment shopping with Ashley?,empty
My besties. If only @ddlovato was there.  on Twitpic http://ff.im/-3o32G,empty
Female and Male 3 year old Labs looking for new home  Family is loosing their home. Both must stay together. Contact me if interested.,empty
"@Lacrimae Pfft, there you go with the logic again!",empty
Searching for a place where I can migrate.,empty
@davidnikel i don't even know what sporting social enterprise means....,empty
crying to A Walk To Remember as usual,empty
@PhilippaJane the &quot;no pants&quot; idea could be the new attempt world-wide to attract business back to the airlines.,empty
Excuse me ms.gomez who said you could leave,empty
morning done my school work doing nothing all day now  what about u twitters,empty
"@Chells oh, i have books on that but no practical experience",empty
"Going to REtake my Softball photo because Patrick's Studio is a piece of shit. Back here for chores. Some Friday, huh?",empty
@blue_cupcakes that busy wowsa .. okay my pizzas gonna be a while  sorry..,empty
You fooled me!,empty
Getting ready to go to the comedy club and listening to some Q-Tip  Who's on iChat or Skype right now? I need an outfit critique,empty
"I had 2 buy a new washer, bought the dryer 2.  Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return it.",empty
"@penitch come home, then. Not so boring here.",empty
@sroxy good morning...did you break 5 digits yet?,empty
@xxxRobyn Yeah *fingers crossed*,empty
@violetbakes Woo hoo - we have that recipe,empty
"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",empty
@REGYATES yes  lol,empty
I want it to be Wednesday already so I can hurry up and go to New Zealand so I'm busy and not sitting here bored and stressing,empty
@Remy_Foster I did about 6 once,empty
If something doesnt happen around here im gonna fall asleep,empty
@DeckEnt  there wasn't enough room for me...,empty
@runpaintrunrun @wordsnfixtures not Pimm's in a can?,empty
went to the beach and it started raining,empty
Wanting to leave work early today but stuff keeps accumulating.  this Friday is so a Monday in disguise. lol,empty
@poopiesanchez in clearwater,empty
"Esse ï¿½ o Wolverine que eu conheï¿½o http://tinyurl.com/c577ny , by noiva @tharcy!",empty
@aplusk I would think the pres would be afraid you'd Pun'k him,empty
"@Evulh I do text to twitter sometimes, but I don't receive any on my phone so....",empty
Allergies suck... My eyes r even mor red than they were b4.  I think I'll stay inside 2day,empty
"had to rumage around topless in the freezer to find something to eat, all I found was a suspect pizza",empty
Someone just bought the domain i planned on buying yesterday damn,empty
Facebook.com isint letting me change my profile picture,empty
listening to a new Stolen Sheep record,empty
"nothing much on tv, seen most of the good stuff...think i'll go to bed soon, but it's too hot to sleep",empty
&amp;not gonna lie. it's 60 degrees in here. thanks for leavin me your sweater molly. brrrrr,empty
@Hyperopia Hi Ok i hope its head comes out of the clouds for you&gt; i love Meadowbank shopping center,empty
Thanks @PARKPLACEMTG @StopChronicPain @Kerrysherin @Health_Twit01,empty
"Tired, But glad its a bank holiday",empty
@ibanezShezz i like the optimism,empty
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",empty
following @lalights keep me updated for the latest dance scene event,empty
"@Janet_Reid Lol. It was the dissing of the were-octopus that did you in. However, he redeems himself by rescuing you from a were-spider.",empty
"maxin' and relaxin', almost bed time",empty
"Legend of Inotia ??????? ??????. ?????? ???????. ???? ??????? 31? ?????, ????? ?????? ???. ????????? ???? ?????? ????? ??????? ??????????",empty
"@EmmaGriffiths86 It's under Community.. I can't see it myself, but one of the moderators (Niandra) told me it was there",empty
2 days &amp; 5 text messages this month,empty
"says morning everyone, off to work in 10 min's  http://plurk.com/p/wxom8",empty
"cower failure: when you mean to comply, but stand up for yourself instead",empty
Goddamn bloody stress and shit sending my body haywire,empty
Fidel has no balls,empty
This is a status update to twitter from ICE  Timestamp: Sun May 10 10:57:44 CEST 2009,empty
Grounds himself from getting more toys...only cause I have officially ran out of room to place them,empty
"Uber Bored ATM, after Out of the Blue, will have shower, then watch house or numb3rs (vid) then CSI + CSI NY + Bones Double . .. . YAY!",empty
Who wants me to spoil the ending for them?,empty
@stevyncolgan What are you confused about?,empty
Maybe i won't go for a run .. i have no running shoes,empty
Goodnight world and all who inhabit it!,empty
@idolart Good morning,empty
"Friday evening......what to do, what to do.  I have to idea.",empty
Writing an essay in college writing  so boring,empty
I wish I could go to E3.  Oh well....,empty
"@GiangcK: oï¿½i, ph?i 'ru' cho bï¿½ ï¿½ ng?, tr??c khi b? th?y cï¿½i r?ng trï¿½i cï¿½y nï¿½y, ?ï¿½i mua m?i th? 1 kg ?? ?n thï¿½ ch?t",empty
@shelbyelizabeth hasn't shipped yet  I won't get over there until at least 7. I'll call you.,empty
sleep? what's sleep again? I've seem to have forgottten the meaning. too much on my mind. or it's just my usual insonmia.,empty
@gfalcone601 cheese and onion! or as my father says 'cheese and minging',empty
@WaylandSmalley Me neither. But it's no longer about what we want. It's about fairness. And fairness is whatever government says it is.,empty
is leading dull life this Friday... Babysitting!,empty
is working. Boo,empty
@dapass  http://twurl.nl/goljwp is what i get when i try to add a new post,empty
"@freckles08x   plus, it is going to clash with ugly betty when channel 4 shows season 3 next month as well. grrr  !",empty
is making a cuppa coffeee,empty
slammin headache from being out in the sun,empty
@AshleyGofficial it's because finished the recordings?,empty
@ARMS1869 im a lady and ladies don't move couches. they direct where the couches go,empty
listening to music  was kostet der fisch ?! xD my mathsteacher has choose the wrong job... that's wrong grammar but a real fact !!,empty
@alisonhaislip I envy everyone on AOTS...,empty
I wish GM stock would turn around at 80 cents a share I would be willing to buy some...if I knew it would do something,empty
@mitsougelinas oui ta soeur!!,empty
San Francisco traffic lights hate me.,empty
"@saryros haha.. yes, i'm jealous! i don't have money to do all that!",empty
@Tinkabellastar no. my school will start on June1.  two days to go. i still don't want. :l,empty
20 John: @johnhaydon: @TheDailyBlonde  http://tinyurl.com/cq5nkp,empty
"@pokeymcslow if he did, he would say hi.",empty
@seschloss No mine looks the same.,empty
Glenna is bored but glad that it is a beautiful day. Macy went swimming and Kris played golf while I sat at home waiting for them,empty
so had a freakin lond thursday  ready to hit the hay and surprise surprise I can't freakin sleep :/ Boo!,empty
Is hungry with a sub,empty
Erm ovaj &quot;video twitter&quot; iz Tweetia ne radi. Niï¿½ta od microcastinga,empty
Trying to sleep but it's too hot!,empty
"@Jessthemediocre...living in my studio, sounds very important ;) oh Mildura is totally boring!! Mhhh...whatever!  byeeee",empty
@annakayh your not in school,empty
"@Rozrad: That was a parking meter, not a streetlight, wasn't it?",empty
morning... on Monday. Is it really?,empty
@Dojie oooh lush. i cant sunbathe i burn way to easily even with sun cream  @sofisticat im great thanks lovely sunny day no?,empty
@USelaine No!  I in fact made sure that cookie was never delivered.,empty
hmmm new search bar on #twitter,empty
is trying to make this sunday last 48hours,empty
loads of insects are attacking me.. time to go inside,empty
@atomix I just see the video: &quot;All your base are belong to us..&quot;  Whatï¿½s going on??!,empty
"Off to meeting in Lincoln Square, bummer, no more free parking",empty
&quot;AAARRRGGGGHHH&quot; is the only thing that can decribe how I feel rite now!,empty
@gcrecords yes,empty
http://twitpic.com/4ja4b - me &amp; raj SQUAD UP! @targetsquad,empty
@reveng101 yeah I know it's so stupid !!!!!!! There no jobs I mean come on,empty
@vavroom I'm the heir to the over draft,empty
@Adam_Lambert Fans from outside the US wish they could vote for Adam too!,empty
@Shooz1 ok ok mam ... i was jus angry,empty
Sooo tired and have a headache-all self inflicted of course! Good times though,empty
"@ianiv No, it's not",empty
@afwife08 nope! not comin up 2nite gurl!,empty
@billdeys it's raining  I'm hiding.,empty
"@chrisontv88 I had a joke for you, but it's too long to tweet.",empty
"gotta get used to pocketwit now, damn you twikini",empty
Trying to figure out what to do tonight. See the game? Social events w. friends? Or stay home and play the s**t out of my drums,empty
@lucyliz dont worry im not!!! i dont get it on my tv,empty
I'm bored at work,empty
"@middleclassgirl excellent, that's always a win..  i'm just dealing with a small clique of passive-aggressive, resistant managers..",empty
@tommcfly Have a nice daaaay !,empty
@lisa_d Zwarte maillot,empty
Oh..I'm so borin'.. why not play the computer?? My mom's say: because your makin' task..!!,empty
Making Banana Bread,empty
"is back from a very long day out at Naz. Gunna crash. Up tomorrow for Mothers Day... editing photos from today, hangin with my mom, etc.",empty
my bf had to go to her dads for the week end. i will have 2 full days of bordom.,empty
Delish  serendipity3,empty
@Sampalm  i can't vote for  her i'm #frustraded  :@,empty
Watching jackass the movie  http://twitpic.com/4wlgi,empty
So my coworker/friend told me the manager who sent me home is afraid she's in trouble for sending me home haha. Dumb bitch,empty
typical Google Docs is down  oh well open Pages,empty
@pyrat_ ay beezy! finally lol its time to hookah so get off twiiter...love ya,empty
At tempe marketplace waiting to see Star Trek.,empty
Happy Mother's Day mommy and grandma haha  ily,empty
Is ANYBODY up? .... I'm sooo bored!,empty
Took a short nap now Im ready for work. My sun burn hurts,empty
@simonFerrari @meblair I thought @starbucks was against licensing stores bc it takes away from the experience they want to provide,empty
"@TheTombert i was watching Harpers Island, lol... there was no vodka involved",empty
i am so bored.,empty
@Chris_pinkapple Not much on for the weekend here. Off to Knox shortly &amp; definitely must get into the garden. It's a wee bit neglected.,empty
cleaning and packing,empty
http://twitpic.com/67jxs - Such crappy weather,empty
@mileycyrus when u get a chance can u post a video of tinkerbell saying peekaboo i kinda wana hear him say it,empty
@kirash4 OMG~ that did not sound right...** U Better B Grinning **  thx,empty
Work...work....work....,empty
@MAGUSWEAVER don't follow me. You will ruin my twitter experience,empty
25 hours and counting.,empty
Just came 11th in cross country and beat dumbo,empty
"Having a hectic day travelling from PJ to UNITEN, back to PJ. Working now at CC office.",empty
Bored out of my mind!  LOL,empty
Well. The jag just took a shit on my way home from training  I hope it's just the alternator.,empty
@carocat i just do it rarely..usually i post it in two tweets with contd written. mostly people dont go to the linked site,empty
"I just put my computer up on craigslist. I've had the same case, monitor, and speakers for over 5 years.",empty
deadlines!,empty
Thanks for pointing out the crucial problems @thakkar. Both of them have been taken care of  (cc: @Netra),empty
Anyone having twitter issues? It's eating my tweets.,empty
@memunish looks same in Noida too,empty
@thatitaliangirl oh yeah,empty
"Yep, one of those nights again.",empty
Just made the perfect fried egg,empty
the downfall about relaxing later is mad manual labor now...just finish cleaning the fridge..and now to fold clothes..house work blues,empty
@INVAZN me too  Thats why im driving down to Cali in July for HIN Pleasanton.,empty
Having Problems With My BlackBerry UGH I need another charged Battery! (@ least 4 now)  @sexyhunnybunny,empty
@kimberMuffin,empty
"on my way out the door to finish putting veggie plants in my garden,after it was demolished by birds/rabbits last wk",empty
"nothing much, just chattin, and textn. you noe me; gosh i wanted to go see UP and Drag me to hell, but no one will go with me.",empty
@rssanborn games? Just wanted to clarify,empty
"Apparently Ashland is never going to tell me if I got the scholarship.  Still my day off  2nd cup of tea, still on the couch!",empty
I dont wanna im to spanish today,empty
@welshmermaid i might have been a child but i was NEVER one of THOSE .....and i've already apologised to you for it,empty
i just read online that a symptom of sleeping too much is headaches throughout the day. i have had a headache all day.,empty
home for lunch &amp; double free. work 5-8. so much school work,empty
@GeeNee08 nothing this time.  just got home. yah?,empty
@monster7of9 You're welcome,empty
I don't saw the movie,empty
@RedBaff no wine here - I don;t drink  - but I have have plenty of forbidden cholocate,empty
"@youngstud07 I found it, I added it, but it's still blocked!",empty
@sickophantikmnd Exactly! Silent treatment is a great torture method,empty
@sheenstar dont get too excited bby i hear thunder rolling in,empty
@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,empty
dog just farted  so bad.....,empty
at work doing website stuff with a slight fever and tiny headache,empty
@MarissaAshley you are very welcome,empty
@juicystar007 Both of you,empty
@NamOf I know  My bro asked if I shaked my fists and now own 6 cats. Will have to make up for last night this weekend when I'm in Philly.,empty
Going to bed. Hung out w. Aaron and Robin then took Aaron to Sunnys.,empty
@less_than_3,empty
@theDebbyRyan i left you some messages  -alyssaBRUNO&lt;3,empty
work work work,empty
Retweeting @GearDiarySite: Win an AT&amp;T Pantech Matrix Pro http://tinyurl.com/d56mqf - it's easy to enter! so go do it!,empty
"So, #primavera is in Barcelona. In Spain. Surely Ruth Lorenzo must be here, right? BTW Jarvis has a walking stick",empty
@Elixabef I hear you   Any time earlier than 11am is just mean!,empty
I don't want to program today,empty
@dannywood HMM Gonna go with ran 4 miles and hit the gym... now time to wake the kids up,empty
bored bored bored. nothing to do today besides work at 5,empty
soo tired  don't wanna go out in this Houston heat!,empty
"@LMcreation yes, Mondays are hard!  Hope you have a great day too &amp; have the opportunity to get out at some point into the sun",empty
@WhoaOhNo  ?,empty
Off to work I go!,empty
sooo bored now dat candace had 2 go get ready ugh but i got ma snowball but im still sadface  p.s.luvs pete wentz hez so fukin hott!!,empty
i want a top that says ' www.bilko22.com ',empty
@threebears That's why i'll be sticking to twitter clients.,empty
"Google going down means DoubleClick goes down too, means I can't get any work done.",empty
i would like some macaroni and cheese please....no?,empty
@ernymi Aural goodness,empty
@spook68 morning.any plans for today?,empty
I can't upload a picture. Everything's too big,empty
@goodlemax can you send me two coldplay songs?  clocks and viva la vida.,empty
@samluminate the closest is a good two hours,empty
Unstable broadband and electricity taking toll on my mental stability.,empty
sitting down doing nothing after being stuck in the house for 4days i had all intentions of doing something but it never works out,empty
@theodorag Yep! It's just quarter til 4 now.  I'm going to try to sleep now that my headache is subsiding. Take it easy Teddy!,empty
"@endlessblush I was ready half an hour ago, but you didn't notice. I'm over it now.",empty
"@ElvisHsiao Twitter doesn't have photo support built in, but I welcome you to try my website http://woo.sh to share the photos",empty
@rowlikewow i think i hate you.  i didnt really want to but you make it hard for me to like you what with the cake and concert on the  ...,empty
@softtouchme just answered you- never learned how to write in French- just basic stuff-,empty
"I am so bored, i really don't know what to do!",empty
OMGod I'm soooo tired    I don't think I have the energy to film today lol,empty
Not found: the thing I was looking for,empty
@Twinklybird Ace @ the exams!,empty
@tommcfly  and you only respond to ddlovato that is not your fan,empty
Laying in the bed boreddddd looking through old cookbooks for new recipes,empty
ya could hit me up on aim or here cause i am mad bored nuttin 2 do,empty
d? ?oï¿½n mï¿½nh s? coi cï¿½i nh?c k?ch nï¿½y 3 l?n ?? n?m b?t ???c g?n ??y ?? tinh th?n vï¿½ cï¿½c khï¿½a c?nh c?a nï¿½,empty
"@JerryShaw i tried changing my pic but twitter is a hater  im a doctor of awesome !! other than that, im just a medical assistant :]",empty
just had a falling out with nick,empty
doing nothing. wanna go out,empty
@turnontheradiox sure ill follow you hun  ohh thank you are you a subscriber on my youtube?,empty
@Donny_B if you're in leeds you can have one from me,empty
@jsyadao Soooooo true. I don't dare ask for something like that!,empty
@TheOriginalTeam Ooh can I have some? I'm hungry but I don't wanna get outta bed,empty
"@yoboseiyo Heehee, how did you know who I was talking about?",empty
"I got some games for the PS3, now I just have to wait...as usual...I still have some stuff that hasn't come in yet",empty
looks like it got cloudy again outside! and i have nothing to do tonight! boo friday,empty
@Bethsybsb,empty
At the park!  Its raining!,empty
FREE UNLIMITED RINGTONES!!! - http://tinyurl.com/freeringring - USA ONLY - Awesome 4 iphone,empty
@Sunflowerygirl especially if you're with a vampire,empty
Making a twitter account,empty
"uploading photos.   (on: Facebook, &amp; Friendster... Myspace later.)",empty
"Dear rain, you suck. Now I gotta change my plans for tonight",empty
@otterbecca tht sucks!!! i know the feeling! sorry  let me know if the movie is good!,empty
so bored...,empty
@sloanyxxx Thanks,empty
up.....i nEEd coFFee. b0ut2get ready2start this new day in my lie,empty
@tatiiiiv me too Tatiiiii!!!,empty
Just ordered an ASUS Eee PC.,empty
Going to get some coffee,empty
@957TheBeat i want magic mountain tix but i dont get ur station out in paso  boo sux for me,empty
Relaxing,empty
going to southland,empty
@allyycase I'm trying to sleep!!! It's not working,empty
"Woe, it's definitely NO fun to travel first class with a bike. You have to fight your way through 7 coaches 'til you reach your seat",empty
@kathyclugston Just investigated whether I could change my username to Ermintrude - someone's already nabbed it,empty
feels really weird today.,empty
Woke up... cleaned... Aunt Emmas... Walmart.. Commissary... Now its time for a nap!!!.. then off to work,empty
2nd period studyhall + remembered my ipod = music time!,empty
@VWRmurder Thanks,empty
"@valerievirginia ohh tell me bout it, couldnt stop munching! my stock is running low, buying more today",empty
feels f*cked! and feet are aching  need my beeeeeddddddd!!!,empty
"Law of Attraction - Some assembly (action) required  If u have asked 2 enter medical school, u still need 2 fill out the application",empty
@marykeegin I've been here since 3 and i'm here for 8 more hours tomorrow,empty
I should stop trying to reach @mitchelmusso,empty
Good night peeps! Give to your mom's the greatest love you have   xxx,empty
Can't even tell you how much this hair dresser is pissssssing me off she has no clue wtf I'm asking her to do..so I'm expecting the worst,empty
@DsBabyGirl  having a stressful morning! just got my computer back (crashed) - trying to reinstall everything.,empty
@tarng Trudy's off Burnet...the one up north that no one goes to,empty
Sitting in on a Friday Night Bored,empty
i got peanut butter in my beard  it felt weird after... and axe body wash burnt my eyes... but now they're okay.,empty
"@trendscaping Check and check!   And yes, I did (and am)!",empty
sooo reluctant to study for finals right now.... but i have to,empty
feels sickly. i need a personal assistant to keep fast food away from me! any takers?,empty
@TFEB nope  we only have one really good cuban place... i'll have to ask them...,empty
@louisecherrie fab!!! although don't think anyone could measure up to the standard set by jason donovan  !!,empty
@Padmasree So are you going to watch Star trek or Wolverine..? I bet you are going to watch both  Right?,empty
Trying to get to sleep but mum is blaring Les Mis really loudly in the sitting room,empty
@qcmartinez That sucks  nobody wants to stay in and lounge? Or do something for free-99?,empty
@OhSweetNibblets ok thanks  do you like my new pic? http://twitpic.com/4jewc,empty
Ugh... I definitely speak too soon...,empty
@Kaelex you're back?,empty
finished the noodles. done the dishwasher. really really warm. i don't like it,empty
"what the hell am i doing awake this early,",empty
"Can't sleep, just laying here in the dark",empty
1:30am goin to sleeeeep,empty
...normal hours to give any interested twitter friends a glimpse into a topic near and dear to us.,empty
@ShakeYourJunk,empty
cant chu hear the echooooo-oooo??,empty
with thee ladies getting retarded,empty
@xoxmillyxox 26th February,empty
nothing,empty
@JohnnyDeppNews EXACTLY!!,empty
@catticho diego? i know lo ame a jack,empty
Trader Joe's &quot;sushi&quot; is a fail.,empty
Awake at 4am..  can't sleep,empty
